Article_ID,ES_ID,Direction of effect,Notes,Response variable,Predictor variable,Age of birds,Species,Avgclutch,size,extype,Habtype,d,v,F,df,df1,df2,t,p,adj p,χ2,β,r,rs,R²,se,η2,z,L,RR,OR,n1,n2,n1p,n1s,n2p,n2s,N,Known_N,m1,se1,sd1,m2,se2,sd2,prop1,prop2,m1p,se1p,sd1p,m1s,se1s,sd1s,m2p,se2p,sd2p,m2s,se2s,sd2s,ciL1,ciU1,ciL2,ciU2,max.1,q3.1,med.1,q1.1,min.1,max.2,q3.2,med.2,q1.2,min.2
1001.0000,1001a,positive,,brood survival 0-2 weeks,invertebrate dry biomass,Nestling,Attwater prairie chicken,12.0000,870.1000,natural variation,grasslands,,,,,,,,0.0000,,,1.3400,,,,0.3600,,3.7100,,,,,,,,,,138.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021.0000,1021a,positive,,chicks per hen,total larvae abundance,Nestling,Black grouse,8.2000,1068.7000,natural variation,grasslands,1.3300,0.2000,7.6000,,1.0000,24.0000,,0.0100,,,,,,,,,,,,,,,,,,,23.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021.0000,1021b,positive,,chicks per female,sawfly larvae abundance,Nestling,Black grouse,8.2000,1068.7000,natural variation,grasslands,,,,,1.0000,24.0000,,0.0200,,,0.5400,,,,0.2200,,,,,,,,,,,,23.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021.0000,1021c,positive,,brood size,sawfly larvae abundance,Nestling,Black grouse,8.2000,1068.7000,natural variation,grasslands,,,,,1.0000,24.0000,,0.0500,,,0.1600,,,,0.0800,,,,,,,,,,,,23.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021.0000,1021d,positive,,broods per female,sawfly larvae abundance,Nestling,Black grouse,8.2000,1068.7000,natural variation,grasslands,,,,,1.0000,24.0000,,0.0300,,,0.8200,,,,0.3600,,,,,,,,,,,,23.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112.0000,1112a,positive,,at least one fledgling,relative number of invertebrates in droppings,Fledgling,Western capercaillie,8.0000,2716.6000,diet-selected,agriculture,1.9000,,,,,,,,,,,,,,,0.4700,,,,,6.0000,3.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112.0000,1112b,positive,,Number of chicks per hen in July,Size of geometrid larva,Nestling,Western capercaillie,8.0000,2716.6000,diet-selected,agriculture,,,,,,,,0.0200,,,,0.8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257.0000,1257a,positive,,2-week brood survival,median number of invertebrates,Nestling,Attwater prairie chicken,12.0000,870.1000,pesticides,grasslands,,,,,,,,,,,1.4500,,,,0.6000,,,,,,,,,,,,63.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257.0000,1257b,positive,,2 week brood survival,invertebrate biomass,Nestling,Attwater prairie chicken,12.0000,870.1000,pesticides,grasslands,,,,,,,,,,,1.0900,,,,0.5700,,,,,,,,,,,,63.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260.0000,1260a,positive,,grey partridge Pair nesting success,Aphicide use,Adult,Grey partridge,15.0000,405.3000,pesticides,agriculture,-0.0300,,,,,,,,,,,-0.0100,,,,,,,0.9900,0.9500,,,,,,,47.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260.0000,1260b,positive,,red-legged partridge pair nesting success,Aphicide use,Adult,Red-legged partridge,12.0000,527.9000,pesticides,agriculture,0.0200,,,,,,,,,,,0.0100,,,,,,,1.0200,1.0400,,,,,,,56.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260.0000,1260c,positive,,Grey partridge chick survival,aphicide dimethoate use,Nestling,Grey partridge,15.0000,405.3000,pesticides,agriculture,0.5700,,,,,,,,,,,0.2800,,,,,,,2.1400,2.8300,,,,,,,47.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260.0000,1260d,positive,,red-legged partridge survival,aphicide dimethoate use,Nestling,Red-legged partridge,12.0000,527.9000,pesticides,agriculture,0.5200,,,,,,,,,,,0.2500,,,,,,,2.1500,2.5800,,,,,,,58.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280.0000,1280a,positive,,% chick survival to 10 days,Number of insect parts per unit of heather,Nestling,Willow ptarmigan,8.0000,566.9000,diet-selected,grasslands,,,,,,,,0.0500,,,,0.6400,,,,,,,,,,,,,,,10.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280.0000,1280b,positive,,Chick weight at 10 days (g),Number of insect parts per unit of heather,Nestling,Willow ptarmigan,8.0000,566.9000,diet-selected,grasslands,,,,,,,,0.0000,,,,0.9400,,,,,,,,,,,,,,,10.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.0000,1283a,positive,,mean number of pheasant pairs,Arthropod density,Adult,Ring-necked pheasant,12.0000,1120.3000,pesticides,agriculture,0.2000,,0.2000,1.0000,,,,0.5000,,,,,,,,,,,,,,,,,,,22.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.0000,1283b,positive,,mean number of partridge pairs,arthropod density,Adult,Grey partridge,15.0000,405.3000,pesticides,agriculture,1.6900,,14.2600,1.0000,,,,0.0000,,,,,,,,,,,,,,,,,,,22.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308.0000,1308a,positive,,Grey partridge brood size,insecticide treatment,,Grey partridge,15.0000,405.3000,pesticides,agriculture,0.6700,0.0900,,,,,,,,,,,,,,,,,,,28.0000,19.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308.0000,1308b,positive,,pheasant brood size,insecticide treatment,,Ring-necked pheasant,12.0000,1120.3000,pesticides,agriculture,0.6700,0.1400,,,,,,,,,,,,,,,,,,,46.0000,10.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308.0000,1308c,positive,,Grey partridge Percent survival to six weeks,Pesticide use y/n,,Grey partridge,15.0000,405.3000,pesticides,agriculture,0.5700,,,,,,,,,,,0.2800,,0.0800,,,,,0.4700,0.3500,28.0000,19.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308.0000,1308d,positive,,pheasant percent survival to six weeks,Pesticide use y/n,,Ring-necked pheasant,12.0000,1120.3000,pesticides,agriculture,0.5200,,,,,,,,,,,0.2500,,0.0600,,,,,0.4700,0.3900,46.0000,10.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319.0000,1319a,positive,,national young:old ratio,volume insects per day,Fledgling,Grey partridge,15.0000,405.3000,natural variation,agriculture,,,,,,,,0.0000,,,,0.9500,,,,,,,,,,,,,,,8.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.0000,1341a,positive,,growth rate - 0-5 days (g/day),whether insects are included in diet,Fledgling,Sage grouse,7.0000,1902.5000,starvation,captive,-5.3500,2.0900,,,,,,,,,,,,,1.4500,,,,,,3.0000,6.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.0000,1341b,positive,,growth rate - 6-10 days (g/day),whether insects are included in diet,Fledgling,Sage grouse,7.0000,1902.5000,starvation,captive,-6.8200,5.4800,,,,,,,,,,,,,2.3400,,,,,,2.0000,3.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.0000,1341c,positive,,growth rate 11-15 days (g/day),whether insects are included in diet,Fledgling,Sage grouse,7.0000,1902.5000,starvation,captive,-9.4900,3.7900,,,,,,,,,,,,,1.9500,,,,,,8.0000,5.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.0000,1341d,positive,,growth rate - 16-20 (g/day),whether insects are included in diet,Fledgling,Sage grouse,7.0000,1902.5000,starvation,captive,-7.9400,2.9700,,,,,,,,,,,,,1.7200,,,,,,5.0000,7.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.0000,1341e,positive,,growth rate 21-25 (g/day),whether insects are included in diet,Fledgling,Sage grouse,7.0000,1902.5000,starvation,captive,-4.1700,1.2900,,,,,,,,,,,,,1.1300,,,,,,4.0000,6.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.0000,1341f,positive,,growth rate 26-30 (g/day),whether insects are included in diet,Fledgling,Sage grouse,7.0000,1902.5000,starvation,captive,-3.5800,1.0600,,,,,,,,,,,,,1.0300,,,,,,4.0000,6.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.0000,1341g,positive,,growth rate 31-35 (g/day),whether insects are included in diet,Fledgling,Sage grouse,7.0000,1902.5000,starvation,captive,-5.2500,1.7100,,,,,,,,,,,,,1.3100,,,,,,8.0000,3.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.0000,1341h,positive,,growth rate 40-45 (g/day),whether insects are included in diet,Fledgling,Sage grouse,7.0000,1902.5000,starvation,captive,-13.2600,30.8000,,,,,,,,,,,,,5.5500,,,,,,2.0000,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.0000,1341i,positive,,Mortality by malnutrition,Quantity of insects provided,Fledgling,Sage grouse,7.0000,1902.5000,captive variation,captive,,,,,,,,0.0200,,,,-0.9400,,,,,,,,,,,,,,,5.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.0000,1341j,positive,,growth rate of surviving birds (g/day),Quantity of insects provided,Fledgling,Sage grouse,7.0000,1902.5000,captive variation,captive,,,,,,,,0.0000,,,,0.9500,,,,,,,,,,,,,,,11.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346.0000,1346a,neutral,no formal statistical test reported; just reported a mean volume per year? not certain where to report that on here OR if the effect is calcuable; correlations of annual means,percent chick survival,volume of insects (ml/15 sweeps),Fledgling,Western capercaillie,8.0000,2716.6000,natural variation,forest,,,,,,,,0.5400,,,-0.0800,-0.6600,,,,,,,,,,,,,,,3.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346.0000,1346b,neutral,no formal statistical test reported; just reported a mean volume per year? not certain where to report that on here OR if the effect is calcuable ; correlations of annual means,net chick production,volume of insects (ml/15 sweeps),Fledgling,Western capercaillie,8.0000,2716.6000,natural variation,forest,,,,,,,,1.0000,,,0.0000,0.0000,,,,,,,,,,,,,,,3.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348.0000,1348a,positive,,mean brood body mass at 4 days,dietary access to invertebrates,Nestling,Willow ptarmigan,8.0000,566.9000,diet-selected,grasslands,,,10.5200,,,,,0.0100,,,,,,0.4500,,,,,,,,,,,,,15.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348.0000,1348b,positive,,mean brood body mass at 10 days,dietary access to invertebrates,Nestling,Willow ptarmigan,8.0000,566.9000,diet-selected,grasslands,,,5.5900,,,,,0.0500,,,,,,0.3000,,,,,,,,,,,,,15.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354.0000,1354a,positive,AIC values reported instead of P,brood survival rate 1-28d,abundance of Lepidoptera,Nestling,Sage grouse,7.0000,1902.5000,natural variation,grasslands,,,,,,,,,,,,,,0.2000,,,,,,,,,,,,,83.0000,,,0.0500,,,,,,,,,,,,,,,,,,,0.7750,0.9880,,,,,,,,,,,,
1365.0000,1365a,positive,,Brood size - Block A,Pesticide use,Nestling,Grey partridge,15.0000,405.3000,pesticides,agriculture,0.8400,0.1300,,,,,,,,,,,,,0.3600,,,,,,14.0000,20.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365.0000,1365b,positive,,Brood size - block B,Pesticide use,Nestling,Grey partridge,15.0000,405.3000,pesticides,agriculture,5.9900,3.1400,,,,,,,,,,,,,1.7700,,,,,,3.0000,4.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365.0000,1365c,positive,,Brood size - block c,Pesticide use,Nestling,Grey partridge,15.0000,405.3000,pesticides,agriculture,0.9600,0.1700,,,,,,,,,,,,,0.4100,,,,,,12.0000,15.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421.0000,1421a,positive,,Brood success,mean celoptera abundance,Nestling,Sage grouse,7.0000,1902.5000,natural variation,grasslands,0.2900,0.0200,,,,,,,,,,,,,0.1600,,,,,,,,,,,,83.0000,,,,,,,,,,,,,,,,,,,,,,-0.0152,0.5965,,,,,,,,,,,,
1421.0000,1421b,positive,,Brood success,Mean hymenoptera abundance,Nestling,Sage grouse,7.0000,1902.5000,natural variation,grasslands,0.3100,0.0200,,,,,,,,,,,,,0.1600,,,,,,,,,,,,83.0000,,,,,,,,,,,,,,,,,,,,,,0.0077,0.6199,,,,,,,,,,,,
1421.0000,1421c,positive,,Brood success,Mean orthoptera abundance,Nestling,Sage grouse,7.0000,1902.5000,natural variation,grasslands,-0.3000,0.0200,,,,,,,,,,,,,0.1600,,,,,,,,,,,,83.0000,,,,,,,,,,,,,,,,,,,,,,-0.6072,0.0048,,,,,,,,,,,,
1421.0000,1421d,positive,,Brood success,Mean lepidoptera abundance,nestling,Sage grouse,7.0000,1902.5000,natural variation,grasslands,1.2100,0.0300,,,,,,,,,,,,,0.1700,,,,,,,,,,,,83.0000,,,,,,,,,,,,,,,,,,,,,,0.8766,1.5820,,,,,,,,,,,,
